x,v
-0.815384,-0.580355
-0.869342,-0.496118
-0.914607,-0.406921
-0.950726,-0.313654
-0.977338,-0.217251
-0.994177,-0.118675
-1.00107,-0.0189127
-0.997959,0.0810389
-0.984865,0.18018
-0.961923,0.27752
-0.929362,0.372084
-0.887506,0.462927
-0.836776,0.549141
-0.777678,0.629864
-0.710803,0.704288
-0.63682,0.771669
-0.556469,0.831334
-0.470554,0.882685
-0.379932,0.925209
-0.285512,0.958481
-0.188236,0.982169
-0.0890781,0.996035
0.0109708,0.99994
0.11091,0.993846
0.20974,0.977813
0.306473,0.952003
0.400141,0.916672
0.489807,0.872175
0.574575,0.818956
0.653598,0.757547
0.726085,0.688563
0.791311,0.612693
0.848623,0.530696
0.89745,0.443393
0.937302,0.351655
0.967781,0.256401
0.988582,0.158583
0.999498,0.0591788
1.00042,-0.040817
0.991334,-0.140405
0.972337,-0.238588
0.943617,-0.334386
0.90546,-0.42684
0.858249,-0.515025
0.802455,-0.59806
0.738637,-0.675115
0.667432,-0.745418
0.589553,-0.808267
0.505778,-0.863034
0.416946,-0.90917
0.323944,-0.946215
0.227703,-0.973797
0.129185,-0.991642
0.0293748,-0.99957
-0.070729,-0.997502
-0.170126,-0.985459
-0.267821,-0.963562
-0.362838,-0.932029
-0.454227,-0.891176
-0.541073,-0.841411
-0.622509,-0.783232
-0.697719,-0.71722
-0.765953,-0.644037
-0.826527,-0.564413
-0.878835,-0.479144
-0.922356,-0.389085
-0.956652,-0.295135
-0.981382,-0.198233
-0.996299,-0.0993487
-1.00125,0.000528824
-0.996193,0.100401
-0.981172,0.199269
-0.956339,0.296145
-0.921943,0.390059
-0.878327,0.480073
-0.825929,0.565285
-0.76527,0.644845
-0.696959,0.717957
-0.621679,0.783889
-0.540182,0.841982
-0.453283,0.891655
-0.361851,0.932412
-0.2668,0.963844
-0.169082,0.985638
-0.0696727,0.997576
0.0304333,0.999538
0.130235,0.991505
0.228734,0.973556
0.324946,0.945872
0.417909,0.908729
0.506692,0.862499
0.590408,0.807644
0.668221,0.744713
0.739351,0.674334
0.803088,0.597212
0.858793,0.514118
0.905911,0.425883
0.94397,0.333389
0.972589,0.237561
0.991482,0.139357
1.00046,0.0397602
0.999434,-0.0602345
0.988414,-0.159627
0.967509,-0.257423
0.936929,-0.352645
0.89698,-0.44434
0.848061,-0.531592
0.790661,-0.613529
0.725355,-0.689329
0.652796,-0.758237
0.573708,-0.819562
0.488883,-0.872692
0.39917,-0.917094
0.305464,-0.952326
0.208704,-0.978034
0.109857,-0.993963
0.00991185,-0.999951
-0.0901328,-0.99594
-0.189276,-0.98197
-0.286527,-0.958179
-0.380912,-0.924807
-0.471488,-0.882187
-0.557349,-0.830746
-0.637637,-0.770996
-0.711549,-0.703537
-0.778345,-0.629042
-0.837357,-0.548257
-0.887996,-0.461989
-0.929755,-0.371102
-0.962216,-0.276503
-0.985056,-0.17914
-0.998044,-0.0799847
-1.00105,0.0199701
-0.99405,0.119725
-0.977108,0.218283
-0.950394,0.314658
-0.914176,0.407887
-0.868816,0.497036
-0.814769,0.581216
-0.752573,0.659583
-0.682852,0.731354
-0.606302,0.795812
-0.52369,0.852311
-0.43584,0.900288
-0.343632,0.939261
-0.247988,0.968842
-0.149864,0.988735
-0.0502409,0.99874
0.0498843,0.998758
0.149511,0.988788
0.247642,0.968931
0.343297,0.939384
0.435519,0.900443
0.523385,0.852498
0.606018,0.796028
0.682591,0.731597
0.752338,0.659851
0.814561,0.581506
0.868639,0.497346
0.91403,0.408212
0.950281,0.314997
0.97703,0.218631
0.994008,0.120079
1.00105,0.0203267
0.998073,-0.0796293
0.98512,-0.178789
0.962315,-0.276161
0.929888,-0.370771
0.888161,-0.461673
0.837553,-0.547959
0.778569,-0.628765
0.7118,-0.703283
0.637913,-0.770769
0.557646,-0.830547
0.471803,-0.882019
0.381242,-0.924672
0.286869,-0.958077
0.189627,-0.981902
0.0904884,-0.995908
-0.00955484,-0.999954
-0.109503,-0.994002
-0.208355,-0.978109
-0.305124,-0.952435
-0.398842,-0.917236
-0.488572,-0.872866
-0.573415,-0.819766
-0.652525,-0.758469
-0.725109,-0.689588
-0.790442,-0.61381
-0.847871,-0.531894
-0.896821,-0.44466
-0.936803,-0.352979
-0.967417,-0.257768
-0.988357,-0.159979
-0.999413,-0.0605905
-1.00047,0.0394039
-0.991532,0.139004
-0.972674,0.237215
-0.944089,0.333053
-0.906063,0.42556
-0.858977,0.513812
-0.803301,0.596926
-0.739592,0.674071
-0.668487,0.744475
-0.590697,0.807434
-0.507,0.862319
-0.418233,0.90858
-0.325284,0.945756
-0.229082,0.973475
-0.130589,0.991458
-0.0307902,0.999527
0.0693165,0.997601
0.16873,0.985698
0.266456,0.963939
0.361518,0.93254
0.452964,0.891816
0.539881,0.842174
0.621399,0.78411
0.696703,0.718205
0.76504,0.645118
0.825727,0.565579
0.878156,0.480385
0.921804,0.390387
0.956233,0.296485
0.981101,0.199619
0.996157,0.100756
1.00125,0.000885407
0.996334,-0.0989939
0.981453,-0.197883
0.956758,-0.294794
0.922494,-0.388756
0.879006,-0.478831
0.826728,-0.564118
0.766183,-0.643764
0.697975,-0.716972
0.622788,-0.78301
0.541373,-0.841218
0.454545,-0.891014
0.363171,-0.9319
0.268165,-0.963466
0.170477,-0.985398
0.0710852,-0.997477
-0.0290179,-0.99958
-0.128831,-0.991688
-0.227355,-0.973878
-0.323606,-0.94633
-0.416621,-0.909319
-0.50547,-0.863214
-0.589264,-0.808477
-0.667166,-0.745656
-0.738395,-0.675378
-0.802241,-0.598346
-0.858065,-0.515331
-0.905307,-0.427162
-0.943497,-0.334722
-0.972252,-0.238934
-0.991284,-0.140758
-1.0004,-0.0411733
-0.999519,0.0588228
-0.988639,0.158231
-0.967872,0.256056
-0.937428,0.351321
-0.897608,0.443073
-0.848813,0.530394
-0.791529,0.612411
-0.726331,0.688304
-0.653869,0.757314
-0.574868,0.818751
-0.490118,0.872
-0.400468,0.91653
-0.306812,0.951894
-0.210089,0.977739
-0.111265,0.993806
-0.0113278,0.999936
0.0887225,0.996066
0.187885,0.982236
